,,,,,Paper Information,,,,,,,,Population Information,,,,,,,,,,,,,Demographic Characteristics,,,,,,,Exposure history,,,,,,,,,,,Comorbidities,,,,,,,,,,,,Symptoms,,,,,,,,,,,,,,,,,,,,,,,Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatments,,,,,,,,,,,,,,,,,,Medical Outcomes,,,,,,,,,,,,,,Outcomes,,,,,,,,Outcomes (Imaging),,
11,1,China,Guangzhou,16,Arbidol combined with LPV/r versus LPV/r alone against Corona Virus Disease 2019: A retrospective cohort study,Journal of Infection,Deng et. al.,https://reader.elsevier.com/reader/sd/pii/S0163445320301134?token=517FFF6E19C9C17E84812ED8214D6754AB25026D7C243B1030EA49CE191BCDD9FFAAAFB89B027FDC2CB8F9A14AA9655C,English,Combination group - no exact mortality outcomes,Agni,,1/17/2020,2/29/2020,43,Subgroup,Combination therapy group,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,NA,,41.8,,,,,43.80%,,,,,,,,,,,,,,12.50%,18.80%,12.50%,12.50%,,0%,,0%,6.20%,12.50%,,,,,,,,,,,,,,,,,,,,,,31.20%,,5.34,3.52,7.16,,,,,0,,,1.83,1.01,2.65,194.8,,139.7,249.9,9.23,4.26,14.2,,,,,,,,,,,,,,,,,,,,,56.30%,100%,100%,,,,,6.20%,68.80%,,31.20%,,0%,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
11,2,China,Guangzhou,17,Arbidol combined with LPV/r versus LPV/r alone against Corona Virus Disease 2019: A retrospective cohort study,Journal of Infection,Deng et. al.,https://reader.elsevier.com/reader/sd/pii/S0163445320301134?token=517FFF6E19C9C17E84812ED8214D6754AB25026D7C243B1030EA49CE191BCDD9FFAAAFB89B027FDC2CB8F9A14AA9655C,English,Monotherapy group - no exact mortality outcomes,Agni,,1/17/2020,2/9/2020,23,Subgroup,Monotherapy group,Positive only,End-point and active,Both,Both,Yes,ΝΑ,All,NA,,47.25,,,,,58.80%,,,,,,,,,,,,,,11.76%,11.70%,17.60%,17.60%,,5.90%,,0%,11.70%,5.90%,,,,,,,,,,,,,,,,,,,,,,35.30%,,5.04,3.96,6.12,,,,,0,,,1.36,0.84,1.88,198.6,,121.4,275.8,9.51,4.65,14.37,,,,,,,,,,,,,,,,,,,,,70.60%,100%,100%,,,,,41.20%,76.50%,,35.30%,,0%,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
12,0,China,Jiangsu,620,"Characteristics and Associations with Severity in COVID-19 Patients: A Multicentre Cohort Study from Jiangsu Province, China",Lancet,Liu et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548753,English,Has dynamic data (i.e. how vital signs evolved during progression of disease) at group level,Ryan,Irra,1/10/2020,2/18/2020,39,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,NA,,44.48,17.16,,,,52.60%,89.84%,35.00%,41.50%,6.91,6.91,,,,4.23,,,4.03%,4.84%,,15.48%,6.45%,2.10%,,,1.10%,,0.60%,1.00%,,,,65.97%,37.05,,55.32%,2.58%,,26.61%,,,,8.56%,,1.90%,,,,15.65%,75.81%,5.30%,3.20%,5.21,3.24,7.18,135.33,,115.86,154.80,0,40.07,,1.36,0.72,2,190.47,,127.40,253.54,,,,3.36,31.03,32.26,,,,,,,,,,616.07,427.15,,,,,,,53.55%,92.90%,,,,,,22.90%,25.20%,34.80%,2.90%,5.30%,0.80%,0.00%,22.90%,0.00%,,,,,8.55%,,,,0.32%,,,,,,,,100.00%,3.20%,40.60%,,,,0.00%,0.00%,,,
12,1,China,Jiangsu,97,"Characteristics and Associations with Severity in COVID-19 Patients: A Multicentre Cohort Study from Jiangsu Province, China",Lancet,Liu et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548753,English,Asymptotic/mild,Ryan,Irra,1/10/2020,2/18/2020,39,Subgroup,Asymptomatic/Mild,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,,35.96,19.88,,,,45.40%,96.90%,24.70%,59.80%,4.49,4.49,,,,4.38,,,6.20%,5.20%,,11.30%,9.30%,3.10%,,,0.00%,,0%,2.90%,,,,23.70%,36.77,,29.90%,1.00%,,12.40%,,,,4.10%,,1.00%,,,,100.00%,0.00%,0.00%,0.00%,5.68,3.80,7.56,136.26,,118.06,154.46,0,41.11,,1.76,1.04,2.48,218.88,,142.36,295.40,,,,3.38,26.78,27.31,,,,,,,,,,805.05,656.73,,,,,,,15.50%,85.60%,,,,,,7.20%,9.30%,16.50%,0.00%,0.00%,0.00%,0.00%,7.20%,0.00%,,,,,0.00%,,,,0.00%,,,,,,,,100.00%,0.00%,36.10%,,,,0.00%,0.00%,,,
12,2,China,Jiangsu,470,"Characteristics and Associations with Severity in COVID-19 Patients: A Multicentre Cohort Study from Jiangsu Province, China",Lancet,Liu et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548753,English,Moderate,Ryan,Irra,1/10/2020,2/18/2020,39,Subgroup,Moderate,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,Mild only,Both,,44.47,15.62,,,,52.60%,88.90%,36.60%,39.40%,5.10,5.10,,,,4.19,,,4.00%,4.10%,,14.30%,4.90%,1.30%,,,1.30%,,0.60%,5.70%,,,,72.60%,37.09,,58.90%,2.70%,,24.70%,,,,9.20%,,2.30%,,,,0.00%,100.00%,0.00%,0.00%,5.07,3.35,6.79,135.55,,115.62,155.48,0,39.98,,1.35,0.78,1.92,186.82,,129.11,244.53,,,,3.26,31.19,32.32,,,,,,,,,,594.17,385.96,,,,,,,56.80%,93.60%,,,,,,18.90%,23.00%,34.00%,0.90%,1.30%,0.00%,0.00%,18.90%,0.00%,,,,,0.00%,,,,0.00%,,,,,,,,100.00%,2.10%,44.30%,,,,0.00%,0.00%,,,
12,3,China,Jiangsu,53,"Characteristics and Associations with Severity in COVID-19 Patients: A Multicentre Cohort Study from Jiangsu Province, China",Lancet,Liu et. al.,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548753,English,Critical,Ryan,Irra,1/10/2020,2/18/2020,39,Subgroup,Severe/Critical,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,,60.09,13.86,,,,66.00%,84.90%,39.60%,26.40%,4.44,4.44,,,,4.42,,,0.00%,1.90%,,34.00%,15.10%,7.50%,,,1.90%,,1.90%,4.80%,,,,84.90%,37.2,,69.80%,11.30%,,41.50%,,,,11.30%,,0%,,,,0.00%,0.00%,62.26%,37.74%,5.46,1.89,9.03,131.24,,113.51,148.97,0,38.58,,0.7,0.38,1.02,160.95,,104.91,216.99,,,,4.19,39.32,42.86,,,,,,,,,,364.50,231.00,,,,,,,94.30%,100.00%,,,,,,86.80%,73.60%,75.50%,26.40%,50.90%,9.40%,0.00%,86.80%,0.00%,,,,,100.00%,,,,3.80%,,,,,,,,100.00%,18.90%,17.00%,,,,0.00%,0.00%,,,
13,0,China,Nationwide,1099,Clinical Characteristics of Coronavirus Disease 2019 in China,NEJM,Guan et al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2002032,English,"Clinical separated into severe vs. non-severe (next two rows), based on guidelines for community-acquired pneumonia, and end-point vs non-endpoint",Ted,Irra,12/11/2019,1/29/2020,49,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,47,,,35,58,,58.10%,,31.30%,,,4,2,7,,,1,,12.60%,,,15%,7.40%,2.50%,,1.10%,0.90%,,0.70%,,,,,88.70%,,38.3,67.80%,18.70%,13.60%,33.70%,14.90%,38.10%,4.80%,3.80%,5%,,13.90%,11.50%,,,84.30%,15.70%,,4.7,3.5,6,134,,119,148,,,,1,0.7,1.3,168,,132,207,,,,,,,,,,,,,,,,,,,,,,,,58%,35.80%,,,,,,18.60%,13.10%,,41.30%,5.10%,2.30%,0.50%,,0.80%,,,,,,3.40%,,,1.10%,,,,0.50%,,,,,5.00%,5.00%,,12,,1.40%,21.88%,,,
13,1,China,Nationwide,926,Clinical Characteristics of Coronavirus Disease 2019 in China,NEJM,Guan et al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2002032,English,,Ted,Irra,12/11/2019,1/29/2020,49,Subgroup,Non-Severe,Positive only,End-point and active,Both,Both,Yes,Both,Mild only,Non-ventilation only,45,,,34,57,,58.20%,,31.60%,,,4,2.8,7,,,,,11.80%,,,13.40%,5.70%,1.80%,,0.60%,0.80%,,0.50%,,,,,88.10%,,38.3,67.30%,15.10%,13.40%,33.40%,14.50%,37.80%,5.10%,3.50%,4.60%,,14%,10.80%,,,,,,4.9,3.8,6,135,,120,148,,,,1,0.8,1.4,172,,139,212,,,,,,,,,,,,,,,,,,,,,,,,53.80%,33.80%,,,,,,13.70%,9.30%,,35.70%,0%,0%,0%,,0%,,,,,,1.10%,,,0.10%,,,,0.10%,,,,,2.40%,5.40%,,11,,0.10%,1.82%,,,
13,2,China,Nationwide,173,Clinical Characteristics of Coronavirus Disease 2019 in China,NEJM,Guan et al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2002032,English,,Ted,Irra,12/11/2019,1/29/2020,49,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,Both,52,,,40,60,,57.80%,,30.00%,,,4,2,7,,,,,16.90%,,,23.70%,16.20%,5.80%,,3.50%,1.70%,,1.70%,,,,,92%,,38.5,70.50%,37.60%,15%,35.30%,17.30%,39.90%,3.50%,5.80%,6.90%,,13.30%,15%,,,,,,3.7,3,6.2,128,,112,141,,,,0.8,0.6,1,137.5,,99,179.5,,,,,,,,,,,,,,,,,,,,,,,,80.30%,46.20%,,,,,,44.50%,33.50%,,71.10%,32.40%,14.50%,2.90%,,5.20%,,,,,,15.60%,,,6.40%,,,,2.90%,,,,,19.10%,2.90%,,13,,8.10%,73.64%,,,
13,3,China,Nationwide,67,Clinical Characteristics of Coronavirus Disease 2019 in China,NEJM,Guan et al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2002032,English,,Ted,Irra,12/11/2019,1/29/2020,49,Subgroup,ICU/Venitlation/Death,Positive and Negative/Unconfirmed,End-point and active,Both,Both,Yes,Both,All,Both,63,,,53,71,,67.20%,,35.70%,,,4,1,7.5,,,,,25.80%,,,35.80%,26.90%,9.00%,,10.40%,1.50%,,3.00%,,,,,88.10%,,38.5,68.70%,53.70%,12%,29.90%,9.00%,32.80%,3.00%,6.00%,4.50%,,9%,11.90%,,,,,,6.1,4.9,11.1,125,,105,140,,,,0.7,0.6,0.9,156.5,,114.2,195,,,,,,,,,,,,,,,,,,,,,,,,89.60%,53.70%,,,,,,52.20%,40.30%,,88.10%,43.30%,37.30%,7.50%,,11.90%,,,,,,40.30%,,,13.40%,,,,40.30%,,,,,82.10%,1.50%,,14.5,,22.40%,93.72%,,,
13,4,China,Nationwide,1032,Clinical Characteristics of Coronavirus Disease 2019 in China,NEJM,Guan et al.,https://www.nejm.org/doi/full/10.1056/NEJMoa2002032,English,,Ted,Irra,12/11/2019,1/29/2020,49,Subgroup,Not (ICU/Ventilation/Death),Positive and Negative/Unconfirmed,End-point and active,Survivors only,Both,Yes,Non-ICU only,All,Both,46,,,35,57,,57.50%,,31.10%,,,4,2,7,,,,,11.80%,,,13.70%,6.10%,2.00%,,0.50%,0.90%,,0.60%,,,,,88.80%,,38.3,67.70%,16.40%,14%,33.90%,15.30%,38.50%,4.90%,3.70%,5.00%,,14.20%,11.40%,,,,,,4.7,3.5,5.9,134,,120,148,,,,1,0.7,1.3,169,,133,207,,,,,,,,,,,,,,,,,,,,,,,,55.90%,34.60%,,,,,,16.40%,11.30%,,38.30%,2.60%,0.00%,0.00%,,0.10%,,,,,,1.00%,,,0.30%,,,,1.00%,,,,,0.00%,5.20%,,12,,0.00%,0.00%,,,
16,0,China,Wuhan,41,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.",The Lancet,Huang et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30183-5/fulltext?fbclid=IwAR21v_Wz-pmaEN9TwZd1aVhOLMU6YesDciWbVkZYZAvhrX5Eru23uYA_jLk,English,Fatigue and Myalgia counted as one. High flow cannula and noninvasive ventilation counted as one. Invasive and ECMO counted as one.,Kim,Irra,12/16/2019,1/2/2020,17,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,49,,,41,58,,73%,66%,66%,,,,,,,7,4,8,7%,,32%,15%,20%,15%,,2%,2%,,,2%,29%,,,98%,,,76%,55%,,28%,44%,44%,,3%,,,,,,,,,,6.2,4.1,10.5,126,,118,140,1,,,0.80,0.60,1.10,164.5,,131.5,263,11.7,9.5,13.9,5,32,34,,,,,,,,,,,,,,,,,,100%,93%,,,,,,22%,,66%,24%,24%,5%,5%,,7%,,,,29%,,29%,,12%,,,,,7%,10%,,,100%,32%,68%,,,,15.00%,18.07%,,,
16,1,China,Wuhan,13,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.",The Lancet,Huang et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30183-5/fulltext?fbclid=IwAR21v_Wz-pmaEN9TwZd1aVhOLMU6YesDciWbVkZYZAvhrX5Eru23uYA_jLk,English,,Kim,,12/16/2019,1/2/2020,17,Subgroup,ICU care,Positive only,End-point and active,Both,Both,Yes,ICU only,All,Both,49,,,41,61,,85%,69%,69%,,,,,,,7,4,8,0%,,38%,15%,8%,23%,,8%,0%,,,0%,62%,,,100%,,,85%,92%,,38%,54%,54%,,0%,,,,,,,,,,11.3,5.8,12.1,122,,111,128,1,,,0.40,0.20,0.80,196,,165,263,14,11.9,32.9,10.6,49,44,,,,,,,,,,,,,,,,,,100%,92%,,,,,,46%,,8%,62%,62%,15%,15%,,23%,,,,85%,,85%,,31%,,,,,23%,31%,,,100%,100%,54%,,,,38.00%,41.30%,,,
16,2,China,Wuhan,28,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China.",The Lancet,Huang et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30183-5/fulltext?fbclid=IwAR21v_Wz-pmaEN9TwZd1aVhOLMU6YesDciWbVkZYZAvhrX5Eru23uYA_jLk,English,,Kim,,12/16/2019,1/2/2020,17,Subgroup,No ICU care,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,All,Both,49,,,41,57.5,,68%,64%,64%,,,,,,,7,4,8.5,11%,,29%,14%,25%,11%,,0%,4%,,,4%,14%,,,96%,,,71%,37%,,23%,39%,39%,,4%,,,,,,,,,,5.7,3.1,7.6,130.5,,120,140,1,,,1.00,0.70,1.10,149,,131,263,10.8,9.4,12.3,4.4,27,34,,,,,,,,,,,,,,,,,,100%,93%,,,,,,11%,,93%,7%,7%,0%,0%,,0%,,,,4%,,4%,,4%,,,,,0%,0%,,,100%,0%,75%,,,,4.00%,5.06%,,,
17,0,China,Wuhan,99,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",The Lancet,Chen et al.,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30211-7/fulltext?from=Qikan_Academic_Index,English,,Kim,Irra,1/1/2020,1/20/2020,19,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,,55.5,13.1,,,,68%,49%,,,,,,,,,,,,,33%,,12%,40%,,1%,1%,,,17%,,,,83%,,,82%,31%,8%,,11%,,,2%,1%,,5%,,,,,,,7.5,3.9,11.1,129.8,,111.5,144.6,1,,,0.9,0.4,1.4,213.5,,,,15.1,7.8,22.4,5,39,34,,51.4,,,,,,,,,,,,,,,,71%,76%,,,,,,,27%,76%,,13%,4%,3%,19%,9%,,,,,,,,,,,,,,,,,100%,23%,31%,,,,11.00%,26.19%,,,
18,1,China,Zhejiang,26,The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease,Journal of Infection,Zhou et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301493,English,focus on cardiac biomarkers,Agni,Irra,2/5/2020,2/13/2020,8,Subgroup,Severe,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,NA,63,,,58,69,,46.15%,,,,,,,,,,,,,,,,,0%,,,,,,,100%,,,,,,,,,,,,,,,,,,,,0%,100%,0%,5.93,4.77,7.45,,,,,0,,64.2,,,,,,,,,,,,34,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,
18,2,China,Zhejiang,8,The Clinical Characteristics of Myocardial injury 1 in Severe and Very Severe Patients with 2019 Novel Coronavirus Disease,Journal of Infection,Zhou et al.,https://www.sciencedirect.com/science/article/pii/S0163445320301493,English,focus on cardiac biomarkers,Agni,Irra,2/5/2020,2/13/2020,8,Subgroup,Critical,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,NA,67,,,66,75,,62.50%,,,,,,,,,,,,,,,,,0%,,,,,,,100%,,,,,,,,,,,,,,,,,,,,0%,0%,100%,9.32,6.37,10.99,,,,,0.00%,,82.6,,,,,,,,,,,,49,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,
19,0,China,Wuhan,138,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia inWuhan, China",JAMA,Wang et al.,https://jamanetwork.com/journals/jama/fullarticle/2761044,English,"As of Feb 3, so much data regarding outcome can be different",Léonard,Irra,1/1/2020,2/3/2020,33,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,56,56,,42,68,29%,54.30%,8.70%,8.70%,,,,,,7,7,4,8,,,46.40%,31.20%,10.10%,14.50%,,2.90%,7.20%,,2.90%,1.40%,,,,98.60%,,,59.40%,31.20%,6.50%,26.80%,34.80%,69.60%,,10.10%,10.10%,39.90%,,,,0%,26%,0%,26.08%,4.5,3.3,6.2,,,,,1.00,,72.00,0.8,0.60,1.10,163.00,,121.00,191.00,9.8,8.4,14.1,3,24.00,31.00,,,,,,,,,,,,,,,,,,64.40%,89.90%,,,,,,44.90%,,76.81%,,10.90%,12.32%,2.90%,44.90%,,,,,19.60%,,19.60%,,,8.70%,,,7.20%,3.60%,,,,100%,26%,34.10%,10,10,,4.30%,11.20%,,,
19,1,China,Wuhan,36,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia inWuhan, China",JAMA,Wang et al.,https://jamanetwork.com/journals/jama/fullarticle/2761044,English,ICU,Ryan,Irra,1/1/2020,2/3/2020,33,Subgroup,Non-ICU,Positive only,End-point and active,Survivors only,Both,Yes,ICU only,All,Both,66,66,,57,78,2.80%,61.10%,13.90%,13.90%,,,,,,8,8,4.5,10,,,72.20%,58.30%,22.20%,25%,,8.30%,11.10%,,5.60%,0%,,,,100.00%,,,58.30%,63.90%,8.30%,22.20%,33.30%,80.60%,,16.70%,11.10%,66.70%,,,,0%,0%,0%,0%,6.60,3.60,9.80,,,,,1.00,,80.00,0.8,0.50,0.90,142.00,,119.00,202.00,11.5,9.6,18.6,4.6,35.00,52.00,,,,,,,,,,,,,,,,,,,94.40%,,,,,,,,11.11%,,42%,47%,11.10%,72.20%,,,,,61.10%,,61.10%,,,30.60%,,,22.20%,8.30%,,,,100%,100%,25.00%,10,,,17.00%,40.48%,,,
19,2,China,Wuhan,102,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia inWuhan, China",JAMA,Wang et al.,https://jamanetwork.com/journals/jama/fullarticle/2761044,English,Non-ICU,Ryan,Irra,1/1/2020,2/3/2020,33,Subgroup,ICU,Positive only,End-point and active,Both,Both,Yes,Non-ICU only,Severe/Critical Only,Non-ventilation only,51,51,,37,62,38.20%,52%,6.90%,6.90%,,,,,,6,6,3,7,,,37.30%,21.60%,5.90%,10.80%,,1%,5.90%,,2%,2%,,,,98.00%,,,59.80%,19.60%,5.90%,28.40%,35.30%,65.70%,,7.80%,9.80%,30.40%,,,,0%,100%,0%,100%,4.30,3.30,5.40,,,,,1.00,,71.00,0.9,0.60,1.20,165.00,,125.00,188.00,9.3,8.2,12.8,2.7,23.00,39.00,,,,,,,,,,,,,,,,,,,88.20%,,,,,,,,100%,,0%,0%,0%,35.30%,,,,,4.90%,,4.90%,,,1.00%,,,2%,2.00%,,,,100%,0%,37%,,10,,0.00%,0.00%,,,
20,0,China,Beijing,13,"Epidemiologic and Clinical Characteristics of Novel Coronavirus Infections Involving 13 Patients Outside Wuhan, China",JAMA,Chang et al.,https://jamanetwork.com/journals/jama/fullarticle/2761043,English,No concrete mortality data,Agni,,1/16/2020,2/4/2020,19,Top-level,General,Positive only,Active only,Survivors only,Both,No,ΝΑ,Mild only,NA,34,,,34,48,,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,92.31%,,38.4,46.30%,,23.10%,,23.10%,,61.50%,7.70%,,,,,,,,0%,0%,5.83,3.51,8.15,147,,134.9,159.1,0,43.2,,1.58,0.927,2.233,199,,126.5,271.5,,,,3.67,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,na,,,,0.00%,,,,
21,0,China,Beijing,51,Emerging 2019 Novel Coronavirus (2019-nCoV) Pneumonia,Radiology,Song et al.,https://pubs.rsna.org/doi/pdf/10.1148/radiol.2020200274,English,No data on treatments,Ryan,,1/20/2020,1/27/2020,7,Top-level,General,Positive only,Active only,Survivors only,Discharged only,No,ΝΑ,Mild only,NA,,49,16,,,,49%,98%,,,,,,,,4,,,7%,,22%,10%,6%,2%,,0%,0%,0%,0%,4%,,,,96%,,,47%,14%,16%,,16.50%,16.50%,,10%,6%,,,,,,0%,0%,0%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,0%,na,,,,,,,,
22,0,China,Northeast Chongqing,135,Clinical Features and Treatment of COVID-19 Patients in Northeast Chongqing,JMV,Wan et al.,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jmv.25783,English,T-tests for difference in values between mild and severe cases,Ted,Irra,1/23/2020,2/8/2020,16,Top-level,General,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,47,,,36,55,,53.40%,88.90%,,17.00%,,,,,,,,,6.70%,,31.90%,9.60%,8.90%,5.20%,,0%,3%,,,,,,,88.90%,,,76.50%,13.30%,32.50%,8.80%,32.50%,32.50%,,13.30%,3%,,,,,,70%,30%,,5.4,4.1,7.8,133,,122,147,1,,,1.1,0.7,1.5,158,,131,230,8.6,5.9,13.7,3.5,26,33.4,,10.5,,,,,,,,,,,,,,,,43.70%,100%,,,,,,26.70%,,,,25.20%,0.70%,0%,,3.70%,,,,,,15.60%,,,,,,7.40%,3.70%,5.20%,,,,,11.11%,,,,0.74%,6.24%,,,
22,1,China,Northeast Chongqing,95,Clinical Features and Treatment of COVID-19 Patients in Northeast Chongqing,JMV,Wan et al.,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jmv.25783,English,,Ted,Irra,1/23/2020,2/8/2020,16,Subgroup,Mild,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Both,44,,,33,49,,54.70%,90.50%,,18.90%,,,,,,,,,8.40%,,16.30%,9.40%,3.10%,1%,,0%,1%,,,,,,,90.10%,,,70.50%,9.50%,24.20%,5.30%,26.30%,26.30%,,5.30%,4.20%,,,,,,,,,5.5,4,8,134,,124,147,1,,,1.2,0.8,1.6,170,,136,234,8.6,5.6,14,3.6,21.7,22.4,,7.7,,,,,,,,,,,,,,,,25%,95%,,,,,,15.80%,,,,7.40%,0%,0%,,1%,,,,,,1.10%,,,,,,8.40%,4%,0%,,,,,10.53%,,,,0.00%,0.00%,,,
22,2,China,Northeast Chongqing,40,Clinical Features and Treatment of COVID-19 Patients in Northeast Chongqing,JMV,Wan et al.,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jmv.25783,English,,Ted,Irra,1/23/2020,2/8/2020,16,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,56,,,52,73,,52.50%,85.00%,,12.50%,,,,,,,,,2.50%,,70%,10%,22.50%,15%,,10%,7.50%,,,,,,,85.00%,,,87.50%,18.90%,27.50%,17.50%,47.50%,47.50%,,32.50%,0%,,,,,,,,,5.2,4.9,6.9,130,,130,143,1,,,0.8,0.6,1,147,,118,213,9.8,7.8,15.6,4.1,26.6,33.6,,91,,,,,,,,,,,,,,,,87.50%,40%,,,,,,52.50%,,,,67.50%,2.50%,0%,,10%,,,,,,50%,,,,,,5%,2.50%,2.50%,,,,,12.50%,,,,2.50%,16.67%,,,
23,0,China,Wuhan,17,"Epidemiological and Clinical Characteristics of 17 Hospitalized Patients with 2019 Novel Coronavirus Infections Outside Wuhan, China",MedRxiv,Li et. al.,https://www.medrxiv.org/content/10.1101/2020.02.11.20022053v1.full.pdf,English,Overall,Ted,,1/22/2020,2/10/2020,19,Top-level,General,Positive only,End-point and active,Survivors only,Both,No,ΝΑ,All,NA,,45.1,12.8,,,,53%,65%,,,,,,,,,,,18%,18%,18%,6%,0%,0%,,0%,0%,0%,0%,18%,,,,71%,,,77%,,,17.60%,24%,47%,,12%,,,,,,,,,,6.2,3.7,8.7,140.5,,127.4,153.6,1,,,1.1,0.6,1.6,227.1,,115.5,338.7,17.7,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,8.4,,0.00%,0.00%,,,
23,1,China,Wuhan,5,"Epidemiological and Clinical Characteristics of 17 Hospitalized Patients with 2019 Novel Coronavirus Infections Outside Wuhan, China",MedRxiv,Li et. al.,https://www.medrxiv.org/content/10.1101/2020.02.11.20022053v1.full.pdf,English,Discharged patients only,Ryan/Ted,,1/22/2020,2/10/2020,19,Subgroup,Discharged,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,NA,,34.8,9.2,,,,80%,100%,,,,,,,,,,,40%,20%,40%,0%,0%,0%,,0%,0%,0%,0%,40%,,,,80%,,,60%,,,0%,60%,60%,,0%,,,,,,,,,,6.3,4.8,7.8,146.3,,139.6,153,1,,,1.7,1.3,2.1,295,,149.3,440.7,12.2,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,8.6,,0.00%,0.00%,,,
23,2,China,Wuhan,12,"Epidemiological and Clinical Characteristics of 17 Hospitalized Patients with 2019 Novel Coronavirus Infections Outside Wuhan, China",MedRxiv,Li et. al.,https://www.medrxiv.org/content/10.1101/2020.02.11.20022053v1.full.pdf,English,Nondischarged patients,Ryan/Ted,,1/22/2020,2/10/2020,19,Subgroup,Non-Discharged,Positive only,Active only,Survivors only,Non-discharged only,No,ΝΑ,All,NA,,49.4,11.7,,,,41.70%,50%,,,,,,,,,,,8.30%,16.70%,8.30%,8.30%,0%,0%,,0%,0%,0%,0%,8.30%,,,,66.70%,,,83.30%,,,25%,16.70%,41.70%,,16.70%,,,,,,,,,,6.1,3.2,9,138.5,,124.1,152.9,1,,,0.9,0.5,1.3,202,,109.5,294.5,19.3,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,8.3,,0.00%,,,,
